iter	Passed	Remaining
612	551377	348096
613	552341	347237
614	553654	346596
615	555300	346161
616	556898	345692
617	558251	345068
618	559479	344364
619	561656	344240
620	564686	344631
621	567442	344844
622	570610	345297
623	572990	345263
624	576066	345639
625	578510	345627
626	580988	345627
627	583747	345786
628	585595	345399
629	587845	345242
630	589649	344818
631	591976	344695
632	593959	344364
633	596207	344182
634	598232	343865
635	600146	343480
636	602337	343247
637	604273	342863
638	606714	342760
639	608980	342551
640	610932	342160
641	612731	341678
642	615122	341522
643	617128	341145
644	618840	340602
645	620725	340149
646	623299	340069
647	625326	339683
648	627838	339555
649	629943	339200
650	631951	338788
651	633904	338341
652	636037	337986
653	637948	337508
654	639876	337034
655	641859	336584
656	644258	336348
657	646869	336214
658	649009	335830
659	651640	335693
660	654029	335425
661	656215	335046
662	658240	334580
663	660315	334135
664	662564	333772
665	664441	333218
666	666340	332670
667	668799	332397
668	671213	332095
669	673058	331506
670	675282	331099
671	677787	330824
672	680279	330537
673	683394	330543
674	685649	330127
675	688374	329930
676	690901	329632
677	693123	329182
678	695545	328821
679	698430	328673
680	700630	328195
681	703065	327822
682	705402	327397
683	707747	326970
684	710184	326581
685	712172	325979
686	714497	325527
687	716731	325029
688	718941	324514
689	721552	324175
690	723850	323690
691	725998	323132
692	728229	322606
693	730902	322271
694	733484	321888
695	736134	321529
696	738912	321220
697	741530	320833
698	744040	320395
699	746102	319758
700	748300	319175
701	750641	318648
702	753637	318393
703	755717	317744
704	758163	317245
705	760880	316854
706	763209	316294
707	766029	315933
708	768583	315455
709	771056	314938
710	773330	314335
711	775681	313758
712	778250	313264
713	780613	312682
714	783643	312361
715	786055	311787
716	788416	311188
717	790720	310561
718	793072	309948
719	795078	309197
720	797517	308609
721	799679	307910
722	802059	307289
723	804702	306765
724	806823	306036
725	808858	305271
726	811165	304605
727	813168	303821
728	815434	303131
729	817699	302436
730	819755	301661
731	822805	301245
732	825037	300525
733	827654	299940
734	830377	299387
735	832964	298780
736	835262	298065
737	837762	297417
738	840223	296750
739	843112	296228
740	845317	295461
741	848016	294862
742	850347	294131
743	853133	293551
744	855433	292799
745	858477	292296
746	860842	291556
747	863471	290902
748	866101	290242
749	868544	289514
750	871341	288900
751	873630	288112
752	876603	287544
753	879043	286796
754	881387	286013
755	882571	284851
756	883756	283689
757	885210	282613
758	886623	281523
759	887816	280363
760	889013	279204
761	890256	278059
762	891623	276952
763	893290	275937
764	894713	274846
765	896295	273802
766	897544	272657
767	898952	271558
768	900107	270383
769	901869	269389
770	903248	268279
771	904885	267246
772	906146	266099
773	907482	264975
774	909106	263934
775	910410	262799
776	911559	261618
777	913996	260806
778	916622	260043
779	919351	259304
780	920970	258249
781	922912	257282
782	925480	256487
783	927631	255571
784	930037	254723
785	931938	253733
786	933634	252686
787	935524	251689
788	937316	250663
789	939191	249658
790	941262	248702
791	942955	247644
792	944666	246590
793	946276	245507
794	948040	244463
795	950014	243471
796	952565	242623
797	955348	241830
798	957587	240894
799	962149	240537
800	964638	239654
801	966639	238646
802	968566	237618
803	970193	236514
804	972071	235470
805	973746	234375
806	975100	233202
807	977328	232236
808	979532	231261
809	981270	230174
810	983001	229084
811	984763	227999
812	986577	226924
813	988011	225761
814	989381	224583
815	990893	223436
816	992656	222345
817	994309	221227
818	995577	220023
819	997114	218878
820	998879	217782
821	1000292	216608
822	1001875	215470
823	1003472	214333
824	1005247	213234
825	1006572	212038
826	1008105	210885
827	1009559	209715
828	1011236	208590
829	1013008	207483
830	1014606	206339
831	1016321	205218
832	1018230	204134
833	1019925	203006
834	1021702	201893
835	1023325	200747
836	1025004	199612
837	1027244	198584
838	1028521	197368
839	1030401	196266
840	1032016	195113
841	1033771	193985
842	1035342	192821
843	1036896	191653
844	1038265	190451
845	1039812	189280
846	1041182	188076
847	1042679	186895
848	1044274	185730
849	1045491	184498
850	1046898	183299
851	1048325	182103
852	1049863	180925
853	1051669	179793
854	1053677	178693
855	1055442	177551
856	1057545	176463
857	1058926	175253
858	1060959	174150
859	1062759	173007
860	1064603	171869
861	1066574	170750
862	1068517	169625
863	1070449	168496
864	1072072	167317
865	1073628	166127
866	1075594	164998
867	1077201	163814
868	1079090	162670
869	1080586	161466
870	1081979	160247
871	1083488	159044
872	1084989	157839
873	1086535	156640
874	1088297	155471
875	1090276	154331
876	1091706	153112
877	1093034	151879
878	1094597	150678
879	1096117	149470
880	1097736	148275
881	1099211	147059
882	1100820	145861
883	1102766	144706
884	1104554	143529
885	1106563	142379
886	1108531	141222
887	1110573	140072
888	1112241	138873
889	1114341	137727
890	1115984	136523
891	1117533	135306
892	1119403	134127
893	1121092	132925
894	1122835	131729
895	1124700	130545
896	1126081	129304
897	1127501	128068
898	1129059	126846
899	1130886	125654
900	1132747	124463
901	1134419	123251
902	1136108	122040
903	1138176	120868
904	1139941	119662
905	1141544	118438
906	1142886	117186
907	1145006	116013
908	1146495	114775
909	1147991	113537
910	1149754	112325
911	1151613	111120
912	1152913	109861
913	1154993	108675
914	1156902	107471
915	1158432	106231
916	1159692	104966
917	1161007	103706
918	1162718	102481
919	1164984	101302
920	1166740	100078
921	1168507	98854
922	1170907	97681
923	1173529	96524
924	1175728	95329
925	1177539	94101
926	1178902	92836
927	1180789	91612
928	1182676	90387
929	1184135	89128
930	1185502	87862
931	1187087	86611
932	1188724	85363
933	1190235	84106
934	1191670	82843
935	1193159	81583
936	1194575	80318
937	1196349	79076
938	1198131	77833
939	1199920	76590
940	1201756	75349
941	1203300	74088
942	1205064	72840
943	1206525	71573
944	1208478	70334
945	1209823	69059
946	1211295	67791
947	1212793	66524
948	1214419	65263
949	1216176	64009
950	1217542	62733
951	1219093	61466
952	1221079	60221
953	1222875	58964
954	1224154	57682
955	1226027	56428
956	1227888	55171
957	1229495	53902
958	1231092	52632
959	1233260	51385
960	1235075	50122
961	1236732	48852
962	1238481	47584
963	1239911	46303
964	1241744	45037
965	1243252	43758
966	1244912	42484
967	1246780	41215
968	1248150	39930
969	1249619	38648
970	1251730	37384
971	1253592	36111
972	1255346	34834
973	1256708	33546
974	1258462	32268
975	1260950	31006
976	1264457	29767
977	1267231	28506
978	1270204	27246
979	1273039	25980
980	1275905	24711
981	1278774	23439
982	1282444	22178
983	1285529	20902
984	1288318	19619
985	1291444	18336
986	1294625	17051
987	1297892	15763
988	1300174	14460
989	1303442	13166
990	1305789	11858
991	1307852	10547
992	1310947	9241
993	1314104	7932
994	1316707	6616
995	1320147	5301
996	1323006	3980
997	1326553	2658
998	1329444	1330
999	1332864	0
