iter	MAE
209	12.47540037
210	12.4653862
211	12.45240778
212	12.43967508
213	12.42302059
214	12.41422974
215	12.40752524
216	12.39768972
217	12.38319084
218	12.37020279
219	12.33857054
220	12.32413373
221	12.31705915
222	12.3072069
223	12.28790745
224	12.25757351
225	12.24776808
226	12.23813075
227	12.23221432
228	12.22178398
229	12.21734956
230	12.21165758
231	12.20465895
232	12.17969947
233	12.16643342
234	12.15474568
235	12.14525521
236	12.13855425
237	12.12693822
238	12.11673862
239	12.09927204
240	12.0881228
241	12.06905054
242	12.05805372
243	12.05017785
244	12.03731731
245	12.03143639
246	12.01252635
247	11.9664458
248	11.95785433
249	11.94833819
250	11.92856417
251	11.91408399
252	11.90399958
253	11.89022252
254	11.87441477
255	11.76654455
256	11.75981988
257	11.74318524
258	11.73136054
259	11.7128765
260	11.68570283
261	11.67259875
262	11.66028525
263	11.626798
264	11.61187268
265	11.59053458
266	11.58339859
267	11.56940443
268	11.5631395
269	11.54855764
270	11.53818025
271	11.52861382
272	11.5119684
273	11.49839834
274	11.48848378
275	11.47558666
276	11.46059757
277	11.45196739
278	11.44249159
279	11.43034442
280	11.42533995
281	11.41774492
282	11.40876208
283	11.39973836
284	11.39007506
285	11.36978779
286	11.35787563
287	11.34659081
288	11.33234774
289	11.32610181
290	11.32213098
291	11.29799164
292	11.28656822
293	11.27384107
294	11.26136141
295	11.24343332
296	11.22207804
297	11.21518031
298	11.21006828
299	11.20259094
300	11.19246971
301	11.16732617
302	11.14574706
303	11.13614528
304	11.12118412
305	11.10819291
306	11.09712668
307	11.08606422
308	11.07360505
309	11.05679736
310	11.04628424
311	11.0426104
312	11.03752324
313	11.02672073
314	11.01876514
315	11.00690101
316	10.99304011
317	10.98556303
318	10.96927632
319	10.92541032
320	10.92229322
321	10.90882349
322	10.8978089
323	10.88864849
324	10.86843393
325	10.86252775
326	10.84795128
327	10.83826816
328	10.82889704
329	10.81956838
330	10.81096987
331	10.79692145
332	10.78897225
333	10.76172908
334	10.71043419
335	10.7028172
336	10.69195141
337	10.68235847
338	10.67114393
339	10.66323449
340	10.65795921
341	10.64168371
342	10.63325379
343	10.61978015
344	10.60740487
345	10.59892896
346	10.59519397
347	10.58707328
348	10.58292678
349	10.56975291
350	10.56221925
351	10.55089529
352	10.54490389
353	10.52907548
354	10.52198141
355	10.51826054
356	10.50859846
357	10.5000725
358	10.49199501
359	10.47454091
360	10.45721
361	10.4485106
362	10.44211535
363	10.43678015
364	10.41520307
365	10.40953958
366	10.40355456
367	10.38897939
368	10.38355851
369	10.37804465
370	10.36812587
371	10.35707222
372	10.34832007
373	10.33911808
374	10.31517083
375	10.30778691
376	10.30476073
377	10.29032049
378	10.28430127
379	10.26868328
380	10.2561532
381	10.2458727
382	10.23681852
383	10.22856074
384	10.22236049
385	10.21576645
386	10.2101804
387	10.20369768
388	10.19592176
389	10.18202759
390	10.16210808
391	10.15670133
392	10.15052664
393	10.13634069
394	10.13005681
395	10.12307826
396	10.11023672
397	10.10537314
398	10.10120959
399	10.0989937
400	10.09532313
401	10.08966897
402	10.05256086
403	10.04512296
404	9.989834079
405	9.982256664
406	9.975851737
407	9.968481207
408	9.965368603
409	9.955394288
410	9.948412141
411	9.939464237
412	9.925382853
413	9.910299914
414	9.907089578
415	9.902788832
416	9.896965924
417	9.891555369
418	9.883715055
419	9.880040926
420	9.867057496
421	9.862860767
422	9.857187112
423	9.850996811
424	9.845532708
425	9.837722032
426	9.832036475
427	9.827696643
428	9.817882291
429	9.805388225
430	9.793883641
431	9.780139562
432	9.774257603
433	9.766180655
434	9.75874763
435	9.755113422
436	9.751768057
437	9.747970354
438	9.74064343
439	9.736403595
440	9.729996939
441	9.725520154
442	9.718243193
443	9.710571919
444	9.699165772
445	9.693347144
446	9.686494501
447	9.678201684
448	9.670604555
449	9.647214549
450	9.64289546
451	9.632353291
452	9.624875745
453	9.616122704
454	9.605154085
455	9.598756335
456	9.594832384
457	9.59117457
458	9.587312902
459	9.577089496
460	9.573869374
461	9.56655107
462	9.558530892
463	9.552752303
464	9.55109101
465	9.548800122
466	9.544593456
467	9.542102698
468	9.53511329
469	9.530860332
470	9.52467479
471	9.522915073
472	9.516159768
473	9.504984356
474	9.50059388
475	9.4928466
476	9.484814184
477	9.478882278
478	9.469565242
479	9.46539948
480	9.458441609
481	9.449436948
482	9.442830869
483	9.435617843
484	9.433298216
485	9.426957155
486	9.419967562
487	9.416130522
488	9.409861714
489	9.401983198
490	9.394845504
491	9.389446051
492	9.387298654
493	9.381272734
494	9.369862392
495	9.363528415
496	9.354122528
497	9.351307494
498	9.348272892
499	9.333878738
500	9.324083301
501	9.318218742
502	9.316349042
503	9.314581116
504	9.306359072
505	9.303589334
506	9.30034038
507	9.295391479
508	9.291078011
509	9.285741251
510	9.279280877
511	9.276895654
512	9.273749767
513	9.266618088
514	9.261466561
515	9.253771209
516	9.248761898
517	9.237130584
518	9.231575325
519	9.224568725
520	9.219956939
521	9.214216687
522	9.203183523
523	9.17671991
524	9.169402129
525	9.167661325
526	9.158842405
527	9.155150833
528	9.149795394
529	9.142770379
530	9.137842621
531	9.129309374
532	9.122065931
533	9.111528892
534	9.10628146
535	9.098807239
536	9.093633955
537	9.089796116
538	9.08699475
539	9.077990866
540	9.076025558
541	9.071315755
542	9.068029334
543	9.065172563
544	9.059402246
545	9.054026877
546	9.049694791
547	9.046312837
548	9.040268491
549	9.036248688
550	9.031063213
551	9.026215135
552	9.020539049
553	9.015944748
554	9.008595813
555	9.003028999
556	9.001829346
557	8.992251108
558	8.989313144
559	8.986615282
560	8.979790997
561	8.976131477
562	8.9721097
563	8.968050991
564	8.963706222
565	8.961768587
566	8.957410554
567	8.95172052
568	8.948816505
569	8.944603392
570	8.941300767
571	8.932789437
572	8.930361245
573	8.929013421
574	8.926511499
575	8.922491175
576	8.916994009
577	8.91370422
578	8.910168504
579	8.906326112
580	8.903539949
581	8.900478563
582	8.89320286
583	8.88600214
584	8.881552323
585	8.876560666
586	8.872822658
587	8.870321466
588	8.865207028
589	8.863719907
590	8.858281086
591	8.85489405
592	8.850119351
593	8.849026913
594	8.838249372
595	8.835523739
596	8.830720168
597	8.829827702
598	8.827595957
599	8.821019819
600	8.816706442
601	8.814465458
602	8.806328474
603	8.798300816
604	8.782681926
605	8.778861115
606	8.776408902
607	8.772921967
608	8.768443091
609	8.763092095
610	8.739721161
611	8.73524482
612	8.730156357
613	8.724108652
614	8.721313288
615	8.716417338
616	8.714036878
617	8.710616715
618	8.708682934
619	8.705267241
620	8.699846933
621	8.695656228
622	8.690632856
623	8.688254815
624	8.68484814
625	8.681808123
626	8.679697916
627	8.674802022
628	8.667014422
629	8.660522197
630	8.658443206
631	8.655770507
632	8.652566641
633	8.648037634
634	8.645703507
635	8.642528867
636	8.640237568
637	8.638427433
638	8.634547708
639	8.632356227
640	8.629476104
641	8.627558601
642	8.621898092
643	8.61983309
644	8.618013476
645	8.615849301
646	8.611520109
647	8.607128653
648	8.600747887
649	8.599199162
650	8.596406273
651	8.592983898
652	8.583935098
653	8.581730327
654	8.580875516
655	8.579162974
656	8.575185801
657	8.570515795
658	8.567584867
659	8.563430392
660	8.558879033
661	8.553594447
662	8.55146698
663	8.548957468
664	8.543983012
665	8.542111664
666	8.541036439
667	8.535100248
668	8.530251031
669	8.527620691
670	8.525379209
671	8.52249009
672	8.519734211
673	8.514157265
674	8.511073196
675	8.505731645
676	8.501291914
677	8.500441807
678	8.498044397
679	8.494218823
680	8.492609948
681	8.489894935
682	8.483352481
683	8.480002217
684	8.476145416
685	8.473353427
686	8.472093828
687	8.470138086
688	8.46869431
689	8.461901721
690	8.456167089
691	8.453726509
692	8.451190476
693	8.447227062
694	8.438933821
695	8.433305613
696	8.42710147
697	8.422573114
698	8.418500235
699	8.416581196
700	8.411985883
701	8.409940943
702	8.40508977
703	8.402400047
704	8.400335726
705	8.397148848
706	8.394981141
707	8.389830243
708	8.386559428
709	8.384392767
710	8.382723838
711	8.38005952
712	8.376340803
713	8.374887811
714	8.369896063
715	8.365320576
716	8.363426652
717	8.361671698
718	8.359079649
719	8.356556631
720	8.35428339
721	8.350944932
722	8.347305379
723	8.343747292
724	8.342050136
725	8.338640133
726	8.336046825
727	8.334059875
728	8.328884584
729	8.327481663
730	8.322599273
731	8.318367875
732	8.316651629
733	8.313992027
734	8.310143936
735	8.304008598
736	8.299594622
737	8.297229354
738	8.295211224
739	8.291756289
740	8.290012073
741	8.284457675
742	8.281756166
743	8.277001961
744	8.276104897
745	8.27326043
746	8.271264871
747	8.264729069
748	8.260583926
749	8.258636049
750	8.254193999
751	8.252034462
752	8.246728882
753	8.244177859
754	8.238863765
755	8.237793663
756	8.235365938
757	8.23202488
758	8.227995238
759	8.22159225
760	8.219738871
761	8.217040385
762	8.214314372
763	8.209803115
764	8.206805213
765	8.204124592
766	8.192751122
767	8.189130746
768	8.18806507
769	8.183394046
770	8.180241937
771	8.176794865
772	8.172424571
773	8.168666488
774	8.164583216
775	8.159468662
776	8.15641949
777	8.155839331
778	8.15261862
779	8.147302184
780	8.141362932
781	8.13979657
782	8.134299416
783	8.132648331
784	8.130204365
785	8.126067624
786	8.122346046
787	8.120392728
788	8.118033593
789	8.110676399
790	8.107410155
791	8.106626364
792	8.105300614
793	8.104490381
794	8.097056317
795	8.09346454
796	8.08913887
797	8.087089036
798	8.084050817
799	8.08313248
800	8.08215332
801	8.079378681
802	8.075650092
803	8.074655278
804	8.069026675
805	8.063716818
806	8.061344679
807	8.05985581
808	8.057641935
809	8.053094331
810	8.050026393
811	8.04616547
812	8.042877972
813	8.041369466
814	8.038447512
815	8.035504724
816	8.03299011
817	8.030542474
818	8.029786074
819	8.027027803
820	8.024467114
821	8.023781844
822	8.019694408
823	8.017545004
824	8.015928992
825	8.014891475
826	8.012742412
827	8.0111803
828	8.009171665
829	8.005680686
830	8.004459262
831	8.00265107
832	8.000199735
833	7.993866391
834	7.991563958
835	7.988588065
836	7.987411007
837	7.984555944
838	7.977875218
839	7.974939685
840	7.970871617
841	7.969466991
842	7.965088289
843	7.963809888
844	7.96187168
845	7.960515979
846	7.959154351
847	7.955864583
848	7.952971751
849	7.952089289
850	7.949795577
851	7.946940955
852	7.942427869
853	7.941174357
854	7.93810853
855	7.935873394
856	7.933237127
857	7.932529416
858	7.929689416
859	7.92698361
860	7.923412794
861	7.921006963
862	7.918112737
863	7.915715029
864	7.914811787
865	7.914231623
866	7.910209219
867	7.907245557
868	7.90413839
869	7.90307028
870	7.900360687
871	7.898843522
872	7.897359852
873	7.895888824
874	7.893182299
875	7.890605342
876	7.881605658
877	7.879863819
878	7.878622157
879	7.877810158
880	7.876212417
881	7.872617938
882	7.87099737
883	7.866900327
884	7.863833537
885	7.861702904
886	7.860473782
887	7.857465771
888	7.856672782
889	7.85356384
890	7.851065129
891	7.848801462
892	7.846517143
893	7.845367502
894	7.843108082
895	7.84080393
896	7.839479507
897	7.837115292
898	7.833964878
899	7.83190411
900	7.829686017
901	7.827444691
902	7.824621868
903	7.820527323
904	7.819003609
905	7.81677645
906	7.815599096
907	7.812564752
908	7.807993853
909	7.806459961
910	7.804291554
911	7.802311314
912	7.801261694
913	7.79840619
914	7.795781882
915	7.794501724
916	7.792097695
917	7.791471386
918	7.789638162
919	7.78617828
920	7.782343227
921	7.779515965
922	7.776815304
923	7.772856275
924	7.770771191
925	7.768481597
926	7.765805707
927	7.764184326
928	7.762424294
929	7.761743679
930	7.760368754
931	7.758561221
932	7.756967496
933	7.753377473
934	7.75231272
935	7.750945482
936	7.749202628
937	7.748138029
938	7.745721444
939	7.743098972
940	7.739715512
941	7.736427941
942	7.733286869
943	7.731813448
944	7.728745168
945	7.727900424
946	7.722095734
947	7.71986033
948	7.717685298
949	7.715885447
950	7.715069236
951	7.713857409
952	7.712100346
953	7.709752977
954	7.707666119
955	7.705581097
956	7.702038565
957	7.699561298
958	7.697028964
959	7.693046919
960	7.689458079
961	7.687962489
962	7.685486494
963	7.683211635
964	7.680210499
965	7.679337212
966	7.678032582
967	7.675343299
968	7.674243682
969	7.673272405
970	7.672049054
971	7.669671154
972	7.667547943
973	7.66673796
974	7.664791812
975	7.664217948
976	7.661079174
977	7.659322953
978	7.656900478
979	7.655805314
980	7.655286142
981	7.653239885
982	7.651145673
983	7.64964388
984	7.648485511
985	7.644236099
986	7.640790244
987	7.636900064
988	7.636265905
989	7.634645261
990	7.633803698
991	7.632212303
992	7.630327562
993	7.628203103
994	7.625936276
995	7.624290939
996	7.622221219
997	7.618266553
998	7.616936947
999	7.61442696
